1000000 30 6.938562e-02 7.078284e-02 5.051580e-03 9.222882e-04
2000000 30 1.147481e-01 1.189916e-01 1.276383e-02 2.330346e-03
3000000 30 1.639736e-01 1.656930e-01 8.403260e-03 1.534218e-03
4000000 31 2.107319e-01 2.175108e-01 1.389317e-02 2.495286e-03
5000000 30 2.654830e-01 2.731230e-01 9.714309e-03 1.773582e-03
6000000 30 3.075901e-01 3.123428e-01 1.072633e-02 1.958351e-03
7000000 73 4.050806e-01 3.634924e-01 2.175459e-02 2.546182e-03
8000000 56 4.034343e-01 4.173672e-01 1.900379e-02 2.539489e-03
9000000
10000000 74 5.018739e-01 5.150869e-01 2.175173e-02 2.528587e-03
11000000 80 5.533439e-01 5.587516e-01 2.262274e-02 2.529299e-03
12000000 140 5.949590e-01 6.076843e-01 2.999385e-02 2.534943e-03
13000000 149 6.496976e-01 6.669002e-01 3.111114e-02 2.548724e-03
14000000 185 7.106217e-01 7.166770e-01 3.466650e-02 2.548731e-03
15000000 190 7.633693e-01 7.746707e-01 3.508082e-02 2.545030e-03
16000000 214 8.254495e-01 8.305378e-01 3.725824e-02 2.546921e-03
17000000 205 8.479699e-01 8.504500e-01 3.639616e-02 2.542018e-03
18000000 116 1.208801e+00 9.270857e-01 4.814821e-02 4.470449e-03
19000000 72 1.299434e+00 9.866836e-01 4.717650e-02 5.559804e-03
20000000 278 1.039006e+00 1.033857e+00 4.251697e-02 2.549999e-03
