2000000 30 1.388501e-01 1.394295e-01 4.658430e-03 8.505090e-04 648432
4000000 30 2.429497e-01 2.358594e-01 6.759753e-03 1.234156e-03 1076384
6000000 30 3.323384e-01 3.380675e-01 8.299666e-03 1.515305e-03 1494020
8000000 30 4.387003e-01 4.380400e-01 8.558415e-03 1.562546e-03 1916448
10000000 31 5.412294e-01 5.411778e-01 1.394995e-02 2.505485e-03 2335328
12000000 30 6.333045e-01 6.396582e-01 7.199861e-03 1.314509e-03 2763472
14000000 35 7.437327e-01 7.466798e-01 1.500852e-02 2.536902e-03 3179332
16000000 30 8.454955e-01 8.458249e-01 1.094651e-02 1.998549e-03 3604900
18000000 30 9.512992e-01 9.500536e-01 1.215033e-02 2.218337e-03 4021868
20000000 30 1.052132e+00 1.049703e+00 1.312108e-02 2.395571e-03 4454264
22000000 75 1.158572e+00 1.158210e+00 2.201793e-02 2.542412e-03 4871700
24000000 59 1.260910e+00 1.259066e+00 1.957411e-02 2.548332e-03 5291640
26000000 52 1.363906e+00 1.361133e+00 1.834632e-02 2.544177e-03 5717096
28000000 98 1.465600e+00 1.464561e+00 2.519926e-02 2.545509e-03 6140480
30000000 144 1.551634e+00 1.567859e+00 3.051140e-02 2.542617e-03 6568240
32000000 92 1.671328e+00 1.673544e+00 2.423825e-02 2.527012e-03 6984536
34000000 79 1.936771e+00 1.772532e+00 3.121632e-02 3.512110e-03 7403924
36000000 36 2.056066e+00 1.920730e+00 2.419955e-02 4.033259e-03 7820020
38000000 58 1.962842e+00 1.969007e+00 1.921647e-02 2.523247e-03 8244212
40000000 179 2.052746e+00 2.084951e+00 3.394860e-02 2.537438e-03 8676616
