P	mean	std	speedup	efficiency	solver
1	8.255306e+00	2.314588e-02	1.000000e+00	1.000000e+00	6.609848e+00
2	3.793841e+00	6.232210e-02	2.175976e+00	1.087988e+00	2.920752e+00
4	2.167904e+00	4.991854e-02	3.807967e+00	9.519916e-01	1.689802e+00
8	1.169415e+00	4.058639e-02	7.059347e+00	8.824183e-01	9.248577e-01
16	6.372922e-01	2.239573e-02	1.295372e+01	8.096076e-01	5.115298e-01
