P	mean	rel-err	speedup	efficiency
1	2.923494e+00	8.149339e-03	1.000000e+00	1.000000e+00
2	1.067760e+00	3.294186e-02	2.737969e+00	1.368985e+00
4	4.369185e-01	4.047412e-02	6.691166e+00	1.672791e+00
8	2.113034e-01	3.672609e-02	1.383553e+01	1.729441e+00
16	1.274663e-01	1.060801e-01	2.293543e+01	1.433464e+00
32	8.791021e-02	2.204396e-01	3.325545e+01	1.039233e+00
