4194304 46 3.288728e-01 3.278558e-01 5.605928e-03 8.265490e-04 2.521075e-03 1482320
8667136 101 6.332084e-01 6.339573e-01 1.624285e-02 1.616224e-03 2.549421e-03 1801436
12845056 88 6.623278e-01 6.649840e-01 1.578028e-02 1.682183e-03 2.529660e-03 1960984
16777216 38 7.592758e-01 7.602850e-01 1.191099e-02 1.932218e-03 2.541439e-03 2001268
21233664 69 1.010431e+00 1.007303e+00 2.117830e-02 2.549568e-03 2.531084e-03 2421312
24920064 110 1.206444e+00 1.217705e+00 3.255534e-02 3.104030e-03 2.549083e-03 2847356
28901376 71 1.253535e+00 1.255592e+00 2.680911e-02 3.181656e-03 2.533990e-03 2830024
33177600 89 1.188633e+00 1.188097e+00 2.838718e-02 3.009036e-03 2.532651e-03 3032252
37748736 80 1.780533e+00 1.788437e+00 4.062947e-02 4.542513e-03 2.539934e-03 3543064
42614784 42 2.542586e+00 2.553104e+00 4.219575e-02 6.510945e-03 2.550208e-03 3454184
46022656 30 3.782479e+00 3.791110e+00 5.243068e-02 9.572489e-03 2.524983e-03 3583276
49561600 76 2.303130e+00 2.310797e+00 5.133806e-02 5.888880e-03 2.548419e-03 4072804
55115776 37 3.349733e+00 3.373464e+00 5.207440e-02 8.560979e-03 2.537741e-03 3980208
58982400 61 2.875188e+00 2.889386e+00 5.736777e-02 7.345190e-03 2.542128e-03 4467700
62980096 35 3.886642e+00 3.895224e+00 5.726126e-02 9.678919e-03 2.484817e-03 4327492
67108864 30 2.620475e+00 2.624125e+00 3.581823e-02 6.539484e-03 2.492062e-03 4207460
