P	mean	std	speedup	efficiency	solver
2	8.660168e+00	1.781653e-01	0.000000e+00	0.000000e+00	8.152951e+00
4	1.190238e+01	1.973266e-01	0.000000e+00	0.000000e+00	1.149991e+01
8	1.537405e+01	2.645814e-01	0.000000e+00	0.000000e+00	1.505368e+01
